"File_221110_222318 - RawData"
"Wavelength nm.";"Abs."
460,00;-0,02069
460,50;-0,02055
461,00;-0,02028
461,50;-0,01987
462,00;-0,01930
462,50;-0,01889
463,00;-0,01860
463,50;-0,01830
464,00;-0,01819
464,50;-0,01830
465,00;-0,01852
465,50;-0,01880
466,00;-0,01920
466,50;-0,01956
467,00;-0,01996
467,50;-0,02032
468,00;-0,02057
468,50;-0,02058
469,00;-0,02043
469,50;-0,02020
470,00;-0,01978
470,50;-0,01930
471,00;-0,01881
471,50;-0,01840
472,00;-0,01822
472,50;-0,01811
473,00;-0,01811
473,50;-0,01822
474,00;-0,01840
474,50;-0,01881
475,00;-0,01930
475,50;-0,01974
476,00;-0,02005
476,50;-0,02036
477,00;-0,02043
477,50;-0,02037
478,00;-0,02014
478,50;-0,01978
479,00;-0,01941
479,50;-0,01904
480,00;-0,01854
480,50;-0,01825
481,00;-0,01804
481,50;-0,01788
482,00;-0,01784
482,50;-0,01804
483,00;-0,01819
483,50;-0,01852
484,00;-0,01897
484,50;-0,01932
485,00;-0,01979
485,50;-0,02003
486,00;-0,02020
486,50;-0,02019
487,00;-0,02002
487,50;-0,01970
488,00;-0,01941
488,50;-0,01897
489,00;-0,01860
489,50;-0,01828
490,00;-0,01799
490,50;-0,01779
491,00;-0,01759
491,50;-0,01758
492,00;-0,01765
492,50;-0,01804
493,00;-0,01839
493,50;-0,01871
494,00;-0,01909
494,50;-0,01945
495,00;-0,01964
495,50;-0,01981
496,00;-0,01987
496,50;-0,01984
497,00;-0,01953
497,50;-0,01932
498,00;-0,01898
498,50;-0,01855
499,00;-0,01811
499,50;-0,01775
500,00;-0,01761
500,50;-0,01736
501,00;-0,01735
501,50;-0,01749
502,00;-0,01764
502,50;-0,01796
503,00;-0,01833
503,50;-0,01875
504,00;-0,01917
504,50;-0,01936
505,00;-0,01964
505,50;-0,01979
506,00;-0,01982
506,50;-0,01970
507,00;-0,01947
507,50;-0,01924
508,00;-0,01895
508,50;-0,01842
509,00;-0,01793
509,50;-0,01762
510,00;-0,01736
510,50;-0,01720
511,00;-0,01711
511,50;-0,01711
512,00;-0,01730
512,50;-0,01752
513,00;-0,01776
513,50;-0,01822
514,00;-0,01855
514,50;-0,01883
515,00;-0,01910
515,50;-0,01927
516,00;-0,01941
516,50;-0,01945
517,00;-0,01936
517,50;-0,01920
518,00;-0,01892
518,50;-0,01855
519,00;-0,01823
519,50;-0,01788
520,00;-0,01746
520,50;-0,01707
521,00;-0,01677
521,50;-0,01691
522,00;-0,01697
522,50;-0,01706
523,00;-0,01711
523,50;-0,01740
524,00;-0,01779
524,50;-0,01820
525,00;-0,01860
525,50;-0,01888
526,00;-0,01915
526,50;-0,01929
527,00;-0,01933
527,50;-0,01921
528,00;-0,01909
528,50;-0,01888
529,00;-0,01863
529,50;-0,01834
530,00;-0,01797
530,50;-0,01756
531,00;-0,01721
531,50;-0,01701
532,00;-0,01686
532,50;-0,01671
533,00;-0,01666
533,50;-0,01678
534,00;-0,01706
534,50;-0,01724
535,00;-0,01741
535,50;-0,01778
536,00;-0,01820
536,50;-0,01854
537,00;-0,01888
537,50;-0,01894
538,00;-0,01894
538,50;-0,01898
539,00;-0,01906
539,50;-0,01898
540,00;-0,01871
540,50;-0,01846
541,00;-0,01811
541,50;-0,01781
542,00;-0,01744
542,50;-0,01704
543,00;-0,01678
543,50;-0,01657
544,00;-0,01642
544,50;-0,01642
545,00;-0,01637
545,50;-0,01648
546,00;-0,01672
546,50;-0,01692
547,00;-0,01729
547,50;-0,01762
548,00;-0,01801
548,50;-0,01826
549,00;-0,01851
549,50;-0,01871
550,00;-0,01884
550,50;-0,01886
551,00;-0,01872
551,50;-0,01849
552,00;-0,01826
552,50;-0,01799
553,00;-0,01759
553,50;-0,01726
554,00;-0,01709
554,50;-0,01675
555,00;-0,01648
555,50;-0,01625
556,00;-0,01605
556,50;-0,01604
557,00;-0,01590
557,50;-0,01590
558,00;-0,01620
558,50;-0,01653
559,00;-0,01682
559,50;-0,01698
560,00;-0,01735
560,50;-0,01781
561,00;-0,01825
561,50;-0,01845
562,00;-0,01857
562,50;-0,01859
563,00;-0,01860
563,50;-0,01855
564,00;-0,01834
564,50;-0,01816
565,00;-0,01788
565,50;-0,01761
566,00;-0,01721
566,50;-0,01685
567,00;-0,01656
567,50;-0,01630
568,00;-0,01613
568,50;-0,01604
569,00;-0,01595
569,50;-0,01593
570,00;-0,01601
570,50;-0,01619
571,00;-0,01633
571,50;-0,01645
572,00;-0,01672
572,50;-0,01695
573,00;-0,01723
573,50;-0,01761
574,00;-0,01793
574,50;-0,01811
575,00;-0,01823
575,50;-0,01828
576,00;-0,01814
576,50;-0,01810
577,00;-0,01802
577,50;-0,01790
578,00;-0,01768
578,50;-0,01738
579,00;-0,01709
579,50;-0,01669
580,00;-0,01630
580,50;-0,01604
581,00;-0,01587
581,50;-0,01567
582,00;-0,01550
582,50;-0,01543
583,00;-0,01546
583,50;-0,01559
584,00;-0,01573
584,50;-0,01591
585,00;-0,01624
585,50;-0,01646
586,00;-0,01665
586,50;-0,01697
587,00;-0,01729
587,50;-0,01753
588,00;-0,01764
588,50;-0,01788
589,00;-0,01797
589,50;-0,01799
590,00;-0,01785
590,50;-0,01782
591,00;-0,01773
591,50;-0,01752
592,00;-0,01726
592,50;-0,01689
593,00;-0,01660
593,50;-0,01620
594,00;-0,01590
594,50;-0,01567
595,00;-0,01543
595,50;-0,01529
596,00;-0,01524
596,50;-0,01535
597,00;-0,01534
597,50;-0,01538
598,00;-0,01549
598,50;-0,01573
599,00;-0,01595
599,50;-0,01614
600,00;-0,01634
600,50;-0,01672
601,00;-0,01711
601,50;-0,01729
602,00;-0,01741
602,50;-0,01765
603,00;-0,01794
603,50;-0,01797
604,00;-0,01790
604,50;-0,01781
605,00;-0,01770
605,50;-0,01746
606,00;-0,01726
606,50;-0,01717
607,00;-0,01680
607,50;-0,01648
608,00;-0,01614
608,50;-0,01581
609,00;-0,01559
609,50;-0,01526
610,00;-0,01506
610,50;-0,01494
611,00;-0,01497
611,50;-0,01501
612,00;-0,01503
612,50;-0,01509
613,00;-0,01524
613,50;-0,01541
614,00;-0,01573
614,50;-0,01608
615,00;-0,01627
615,50;-0,01637
616,00;-0,01657
616,50;-0,01695
617,00;-0,01712
617,50;-0,01727
618,00;-0,01746
618,50;-0,01749
619,00;-0,01753
619,50;-0,01756
620,00;-0,01740
620,50;-0,01726
621,00;-0,01712
621,50;-0,01678
622,00;-0,01631
622,50;-0,01596
623,00;-0,01576
623,50;-0,01555
624,00;-0,01534
624,50;-0,01506
625,00;-0,01492
625,50;-0,01482
626,00;-0,01462
626,50;-0,01460
627,00;-0,01465
627,50;-0,01460
628,00;-0,01469
628,50;-0,01494
629,00;-0,01511
629,50;-0,01529
630,00;-0,01553
630,50;-0,01581
631,00;-0,01616
631,50;-0,01651
632,00;-0,01677
632,50;-0,01692
633,00;-0,01706
633,50;-0,01704
634,00;-0,01712
634,50;-0,01720
635,00;-0,01723
635,50;-0,01714
636,00;-0,01703
636,50;-0,01683
637,00;-0,01663
637,50;-0,01646
638,00;-0,01622
638,50;-0,01602
639,00;-0,01558
639,50;-0,01529
640,00;-0,01503
640,50;-0,01503
641,00;-0,01488
641,50;-0,01469
642,00;-0,01457
642,50;-0,01456
643,00;-0,01456
643,50;-0,01451
644,00;-0,01450
644,50;-0,01459
645,00;-0,01471
645,50;-0,01491
646,00;-0,01505
646,50;-0,01524
647,00;-0,01558
647,50;-0,01587
648,00;-0,01610
648,50;-0,01630
649,00;-0,01653
649,50;-0,01663
650,00;-0,01678
650,50;-0,01686
651,00;-0,01691
651,50;-0,01698
652,00;-0,01700
652,50;-0,01688
653,00;-0,01669
653,50;-0,01653
654,00;-0,01633
654,50;-0,01604
655,00;-0,01585
655,50;-0,01573
656,00;-0,01547
656,50;-0,01523
657,00;-0,01498
657,50;-0,01471
658,00;-0,01440
658,50;-0,01424
659,00;-0,01413
659,50;-0,01405
660,00;-0,01404
660,50;-0,01408
661,00;-0,01411
661,50;-0,01416
662,00;-0,01440
662,50;-0,01451
663,00;-0,01460
663,50;-0,01476
664,00;-0,01501
664,50;-0,01529
665,00;-0,01552
665,50;-0,01579
666,00;-0,01604
666,50;-0,01610
667,00;-0,01622
667,50;-0,01643
668,00;-0,01656
668,50;-0,01662
669,00;-0,01666
669,50;-0,01659
670,00;-0,01648
670,50;-0,01640
671,00;-0,01625
671,50;-0,01596
672,00;-0,01578
672,50;-0,01555
673,00;-0,01538
673,50;-0,01517
674,00;-0,01497
674,50;-0,01469
675,00;-0,01442
675,50;-0,01416
676,00;-0,01390
676,50;-0,01379
677,00;-0,01372
677,50;-0,01366
678,00;-0,01358
678,50;-0,01360
679,00;-0,01364
679,50;-0,01360
680,00;-0,01370
680,50;-0,01398
681,00;-0,01416
681,50;-0,01439
682,00;-0,01476
682,50;-0,01495
683,00;-0,01505
683,50;-0,01521
684,00;-0,01550
684,50;-0,01569
685,00;-0,01588
685,50;-0,01605
686,00;-0,01619
686,50;-0,01627
687,00;-0,01645
687,50;-0,01645
688,00;-0,01640
688,50;-0,01625
689,00;-0,01628
689,50;-0,01613
690,00;-0,01582
690,50;-0,01552
691,00;-0,01535
691,50;-0,01512
692,00;-0,01491
692,50;-0,01469
693,00;-0,01459
693,50;-0,01430
694,00;-0,01410
694,50;-0,01396
695,00;-0,01367
695,50;-0,01353
696,00;-0,01347
696,50;-0,01346
697,00;-0,01334
697,50;-0,01335
698,00;-0,01341
698,50;-0,01344
699,00;-0,01346
699,50;-0,01357
700,00;-0,01369
700,50;-0,01384
701,00;-0,01401
701,50;-0,01424
702,00;-0,01437
702,50;-0,01466
703,00;-0,01501
703,50;-0,01520
704,00;-0,01540
704,50;-0,01559
705,00;-0,01573
705,50;-0,01582
706,00;-0,01595
706,50;-0,01604
707,00;-0,01605
707,50;-0,01599
708,00;-0,01595
708,50;-0,01587
709,00;-0,01578
709,50;-0,01566
710,00;-0,01556
710,50;-0,01535
711,00;-0,01515
711,50;-0,01486
712,00;-0,01477
712,50;-0,01443
713,00;-0,01421
713,50;-0,01402
714,00;-0,01384
714,50;-0,01366
715,00;-0,01344
715,50;-0,01324
716,00;-0,01320
716,50;-0,01309
717,00;-0,01300
717,50;-0,01306
718,00;-0,01311
718,50;-0,01306
719,00;-0,01309
719,50;-0,01308
720,00;-0,01315
720,50;-0,01341
721,00;-0,01357
721,50;-0,01373
722,00;-0,01385
722,50;-0,01407
723,00;-0,01434
723,50;-0,01456
724,00;-0,01485
724,50;-0,01500
725,00;-0,01511
725,50;-0,01526
726,00;-0,01537
726,50;-0,01541
727,00;-0,01541
727,50;-0,01547
728,00;-0,01563
728,50;-0,01559
729,00;-0,01556
729,50;-0,01546
730,00;-0,01538
730,50;-0,01538
731,00;-0,01523
731,50;-0,01509
732,00;-0,01486
732,50;-0,01459
733,00;-0,01434
733,50;-0,01418
734,00;-0,01370
734,50;-0,01367
735,00;-0,01347
735,50;-0,01324
736,00;-0,01312
736,50;-0,01294
737,00;-0,01274
737,50;-0,01274
738,00;-0,01263
738,50;-0,01259
739,00;-0,01253
739,50;-0,01254
740,00;-0,01257
740,50;-0,01260
741,00;-0,01276
741,50;-0,01288
742,00;-0,01297
742,50;-0,01321
743,00;-0,01331
743,50;-0,01343
744,00;-0,01361
744,50;-0,01385
745,00;-0,01413
745,50;-0,01434
746,00;-0,01454
746,50;-0,01469
747,00;-0,01485
747,50;-0,01501
748,00;-0,01515
748,50;-0,01524
749,00;-0,01524
749,50;-0,01529
750,00;-0,01532
750,50;-0,01535
751,00;-0,01537
751,50;-0,01534
752,00;-0,01521
752,50;-0,01517
753,00;-0,01500
753,50;-0,01471
754,00;-0,01447
754,50;-0,01433
755,00;-0,01414
755,50;-0,01392
756,00;-0,01369
756,50;-0,01352
757,00;-0,01338
757,50;-0,01315
758,00;-0,01294
758,50;-0,01288
759,00;-0,01273
759,50;-0,01266
760,00;-0,01250
760,50;-0,01242
761,00;-0,01239
761,50;-0,01237
762,00;-0,01239
762,50;-0,01244
763,00;-0,01233
763,50;-0,01225
764,00;-0,01239
764,50;-0,01259
765,00;-0,01280
765,50;-0,01291
766,00;-0,01299
766,50;-0,01312
767,00;-0,01320
767,50;-0,01324
768,00;-0,01341
768,50;-0,01372
769,00;-0,01399
769,50;-0,01414
770,00;-0,01430
770,50;-0,01448
771,00;-0,01468
771,50;-0,01485
772,00;-0,01494
772,50;-0,01492
773,00;-0,01498
773,50;-0,01498
774,00;-0,01489
774,50;-0,01489
775,00;-0,01483
775,50;-0,01471
776,00;-0,01463
776,50;-0,01456
777,00;-0,01437
777,50;-0,01419
778,00;-0,01405
778,50;-0,01385
779,00;-0,01369
779,50;-0,01353
780,00;-0,01340
780,50;-0,01326
781,00;-0,01300
781,50;-0,01286
782,00;-0,01273
782,50;-0,01253
783,00;-0,01236
783,50;-0,01227
784,00;-0,01212
784,50;-0,01201
785,00;-0,01195
785,50;-0,01195
786,00;-0,01186
786,50;-0,01180
787,00;-0,01178
787,50;-0,01183
788,00;-0,01184
788,50;-0,01190
789,00;-0,01199
789,50;-0,01212
790,00;-0,01225
790,50;-0,01239
791,00;-0,01257
791,50;-0,01271
792,00;-0,01286
792,50;-0,01303
793,00;-0,01320
793,50;-0,01338
794,00;-0,01355
794,50;-0,01379
795,00;-0,01392
795,50;-0,01396
796,00;-0,01404
796,50;-0,01410
797,00;-0,01425
797,50;-0,01439
798,00;-0,01440
798,50;-0,01451
799,00;-0,01451
799,50;-0,01451
800,00;-0,01433
800,50;-0,01439
801,00;-0,01443
801,50;-0,01433
802,00;-0,01419
802,50;-0,01387
803,00;-0,01361
803,50;-0,01360
804,00;-0,01352
804,50;-0,01332
805,00;-0,01309
805,50;-0,01297
806,00;-0,01279
806,50;-0,01257
807,00;-0,01237
807,50;-0,01225
808,00;-0,01216
808,50;-0,01198
809,00;-0,01181
809,50;-0,01163
810,00;-0,01149
810,50;-0,01147
811,00;-0,01154
811,50;-0,01143
812,00;-0,01135
812,50;-0,01134
813,00;-0,01143
813,50;-0,01147
814,00;-0,01149
814,50;-0,01157
815,00;-0,01169
815,50;-0,01183
816,00;-0,01195
816,50;-0,01202
817,00;-0,01212
817,50;-0,01227
818,00;-0,01239
818,50;-0,01260
819,00;-0,01285
819,50;-0,01297
820,00;-0,01312
820,50;-0,01323
821,00;-0,01332
821,50;-0,01344
822,00;-0,01364
822,50;-0,01364
823,00;-0,01369
823,50;-0,01390
824,00;-0,01410
824,50;-0,01408
825,00;-0,01418
825,50;-0,01416
826,00;-0,01419
826,50;-0,01411
827,00;-0,01405
827,50;-0,01402
828,00;-0,01398
828,50;-0,01393
829,00;-0,01381
829,50;-0,01358
830,00;-0,01337
830,50;-0,01329
831,00;-0,01321
831,50;-0,01300
832,00;-0,01283
832,50;-0,01263
833,00;-0,01247
833,50;-0,01233
834,00;-0,01218
834,50;-0,01192
835,00;-0,01173
835,50;-0,01163
836,00;-0,01160
836,50;-0,01144
837,00;-0,01137
837,50;-0,01125
838,00;-0,01122
838,50;-0,01114
839,00;-0,01108
839,50;-0,01106
840,00;-0,01106
840,50;-0,01099
841,00;-0,01099
841,50;-0,01105
842,00;-0,01109
842,50;-0,01126
843,00;-0,01137
843,50;-0,01134
844,00;-0,01149
844,50;-0,01169
845,00;-0,01184
845,50;-0,01192
846,00;-0,01199
846,50;-0,01215
847,00;-0,01228
847,50;-0,01245
848,00;-0,01259
848,50;-0,01288
849,00;-0,01303
849,50;-0,01312
850,00;-0,01324
850,50;-0,01326
851,00;-0,01337
851,50;-0,01338
852,00;-0,01343
852,50;-0,01353
853,00;-0,01361
853,50;-0,01369
854,00;-0,01370
854,50;-0,01369
855,00;-0,01364
855,50;-0,01367
856,00;-0,01370
856,50;-0,01376
857,00;-0,01363
857,50;-0,01347
858,00;-0,01335
858,50;-0,01317
859,00;-0,01302
859,50;-0,01291
860,00;-0,01279
860,50;-0,01266
861,00;-0,01251
861,50;-0,01230
862,00;-0,01216
862,50;-0,01205
863,00;-0,01195
863,50;-0,01176
864,00;-0,01154
864,50;-0,01138
865,00;-0,01118
865,50;-0,01118
866,00;-0,01111
866,50;-0,01094
867,00;-0,01086
867,50;-0,01077
868,00;-0,01071
868,50;-0,01065
869,00;-0,01060
869,50;-0,01062
870,00;-0,01060
870,50;-0,01062
871,00;-0,01056
871,50;-0,01064
872,00;-0,01070
872,50;-0,01073
873,00;-0,01080
873,50;-0,01086
874,00;-0,01091
874,50;-0,01106
875,00;-0,01120
875,50;-0,01135
876,00;-0,01155
876,50;-0,01158
877,00;-0,01173
877,50;-0,01193
878,00;-0,01207
878,50;-0,01218
879,00;-0,01236
879,50;-0,01250
880,00;-0,01265
880,50;-0,01282
881,00;-0,01280
881,50;-0,01280
882,00;-0,01286
882,50;-0,01306
883,00;-0,01326
883,50;-0,01328
884,00;-0,01324
884,50;-0,01334
885,00;-0,01340
885,50;-0,01332
886,00;-0,01320
886,50;-0,01314
887,00;-0,01311
887,50;-0,01308
888,00;-0,01306
888,50;-0,01305
889,00;-0,01309
889,50;-0,01305
890,00;-0,01294
890,50;-0,01282
891,00;-0,01256
891,50;-0,01239
892,00;-0,01224
892,50;-0,01199
893,00;-0,01186
893,50;-0,01190
894,00;-0,01176
894,50;-0,01161
895,00;-0,01157
895,50;-0,01137
896,00;-0,01120
896,50;-0,01102
897,00;-0,01082
897,50;-0,01057
898,00;-0,01054
898,50;-0,01050
899,00;-0,01047
899,50;-0,01044
900,00;-0,01036
900,50;-0,01021
901,00;-0,01004
901,50;-0,01015
902,00;-0,01028
902,50;-0,01036
903,00;-0,01039
903,50;-0,01035
904,00;-0,01028
904,50;-0,01031
905,00;-0,01038
905,50;-0,01053
906,00;-0,01065
906,50;-0,01067
907,00;-0,01074
907,50;-0,01083
908,00;-0,01109
908,50;-0,01115
909,00;-0,01106
909,50;-0,01143
910,00;-0,01176
910,50;-0,01181
911,00;-0,01183
911,50;-0,01198
912,00;-0,01227
912,50;-0,01241
913,00;-0,01242
913,50;-0,01239
914,00;-0,01248
914,50;-0,01274
915,00;-0,01299
915,50;-0,01292
916,00;-0,01282
916,50;-0,01291
917,00;-0,01299
917,50;-0,01311
918,00;-0,01315
918,50;-0,01300
919,00;-0,01279
919,50;-0,01295
920,00;-0,01302
920,50;-0,01300
921,00;-0,01292
921,50;-0,01291
922,00;-0,01292
922,50;-0,01274
923,00;-0,01259
923,50;-0,01245
924,00;-0,01237
924,50;-0,01222
925,00;-0,01210
925,50;-0,01208
926,00;-0,01204
926,50;-0,01173
927,00;-0,01138
927,50;-0,01141
928,00;-0,01143
928,50;-0,01114
929,00;-0,01094
929,50;-0,01096
930,00;-0,01096
930,50;-0,01070
931,00;-0,01050
931,50;-0,01047
932,00;-0,01047
932,50;-0,01031
933,00;-0,01013
933,50;-0,00996
934,00;-0,00990
934,50;-0,00995
935,00;-0,01009
935,50;-0,00999
936,00;-0,00983
936,50;-0,00989
937,00;-0,00992
937,50;-0,00992
938,00;-0,00993
938,50;-0,00999
939,00;-0,01012
939,50;-0,01007
940,00;-0,01009
940,50;-0,01019
941,00;-0,01048
941,50;-0,01054
942,00;-0,01057
942,50;-0,01064
943,00;-0,01071
943,50;-0,01088
944,00;-0,01114
944,50;-0,01123
945,00;-0,01128
945,50;-0,01135
946,00;-0,01140
946,50;-0,01161
947,00;-0,01183
947,50;-0,01181
948,00;-0,01184
948,50;-0,01201
949,00;-0,01216
949,50;-0,01236
950,00;-0,01237
950,50;-0,01247
951,00;-0,01251
951,50;-0,01253
952,00;-0,01253
952,50;-0,01256
953,00;-0,01259
953,50;-0,01260
954,00;-0,01268
954,50;-0,01274
955,00;-0,01276
955,50;-0,01279
956,00;-0,01263
956,50;-0,01256
957,00;-0,01253
957,50;-0,01245
958,00;-0,01237
958,50;-0,01233
959,00;-0,01228
959,50;-0,01215
960,00;-0,01198
960,50;-0,01184
961,00;-0,01175
961,50;-0,01161
962,00;-0,01151
962,50;-0,01146
963,00;-0,01129
963,50;-0,01114
964,00;-0,01103
964,50;-0,01097
965,00;-0,01085
965,50;-0,01070
966,00;-0,01059
966,50;-0,01038
967,00;-0,01022
967,50;-0,01016
968,00;-0,01013
968,50;-0,01004
969,00;-0,00989
969,50;-0,00975
970,00;-0,00974
970,50;-0,00966
971,00;-0,00952
971,50;-0,00949
972,00;-0,00945
972,50;-0,00949
973,00;-0,00952
973,50;-0,00949
974,00;-0,00952
974,50;-0,00951
975,00;-0,00951
975,50;-0,00957
976,00;-0,00961
976,50;-0,00955
977,00;-0,00955
977,50;-0,00967
978,00;-0,00984
978,50;-0,00998
979,00;-0,01006
979,50;-0,01019
980,00;-0,01038
980,50;-0,01042
981,00;-0,01051
981,50;-0,01048
982,00;-0,01050
982,50;-0,01064
983,00;-0,01076
983,50;-0,01088
984,00;-0,01097
984,50;-0,01108
985,00;-0,01118
985,50;-0,01131
986,00;-0,01138
986,50;-0,01149
987,00;-0,01161
987,50;-0,01175
988,00;-0,01189
988,50;-0,01205
989,00;-0,01210
989,50;-0,01213
990,00;-0,01213
990,50;-0,01221
991,00;-0,01227
991,50;-0,01224
992,00;-0,01233
992,50;-0,01234
993,00;-0,01236
993,50;-0,01236
994,00;-0,01228
994,50;-0,01233
995,00;-0,01230
995,50;-0,01228
996,00;-0,01225
996,50;-0,01221
997,00;-0,01213
997,50;-0,01205
998,00;-0,01195
