"File_221110_221531 - RawData"
"Wavelength nm.";"Abs."
458,00;-0,02467
458,50;-0,02426
459,00;-0,02405
459,50;-0,02419
460,00;-0,02451
460,50;-0,02487
461,00;-0,02502
461,50;-0,02489
462,00;-0,02458
462,50;-0,02419
463,00;-0,02400
463,50;-0,02406
464,00;-0,02426
464,50;-0,02451
465,00;-0,02480
465,50;-0,02473
466,00;-0,02441
466,50;-0,02400
467,00;-0,02382
467,50;-0,02383
468,00;-0,02403
468,50;-0,02444
469,00;-0,02469
469,50;-0,02473
470,00;-0,02452
470,50;-0,02414
471,00;-0,02373
471,50;-0,02365
472,00;-0,02393
472,50;-0,02432
473,00;-0,02458
473,50;-0,02461
474,00;-0,02438
474,50;-0,02411
475,00;-0,02367
475,50;-0,02357
476,00;-0,02368
476,50;-0,02411
477,00;-0,02443
477,50;-0,02460
478,00;-0,02444
478,50;-0,02417
479,00;-0,02377
479,50;-0,02351
480,00;-0,02351
480,50;-0,02370
481,00;-0,02408
481,50;-0,02440
482,00;-0,02449
482,50;-0,02415
483,00;-0,02376
483,50;-0,02336
484,00;-0,02322
484,50;-0,02332
485,00;-0,02359
485,50;-0,02399
486,00;-0,02428
486,50;-0,02437
487,00;-0,02412
487,50;-0,02368
488,00;-0,02333
488,50;-0,02310
489,00;-0,02313
489,50;-0,02333
490,00;-0,02376
490,50;-0,02400
491,00;-0,02414
491,50;-0,02402
492,00;-0,02365
492,50;-0,02335
493,00;-0,02313
493,50;-0,02310
494,00;-0,02327
494,50;-0,02357
495,00;-0,02385
495,50;-0,02396
496,00;-0,02391
496,50;-0,02364
497,00;-0,02322
497,50;-0,02284
498,00;-0,02281
498,50;-0,02298
499,00;-0,02325
499,50;-0,02370
500,00;-0,02394
500,50;-0,02386
501,00;-0,02350
501,50;-0,02318
502,00;-0,02290
502,50;-0,02274
503,00;-0,02289
503,50;-0,02321
504,00;-0,02353
504,50;-0,02379
505,00;-0,02383
505,50;-0,02367
506,00;-0,02338
506,50;-0,02303
507,00;-0,02269
507,50;-0,02260
508,00;-0,02277
508,50;-0,02296
509,00;-0,02322
509,50;-0,02353
510,00;-0,02359
510,50;-0,02344
511,00;-0,02304
511,50;-0,02269
512,00;-0,02238
512,50;-0,02246
513,00;-0,02266
513,50;-0,02301
514,00;-0,02325
514,50;-0,02345
515,00;-0,02351
515,50;-0,02332
516,00;-0,02307
516,50;-0,02274
517,00;-0,02235
517,50;-0,02229
518,00;-0,02246
518,50;-0,02275
519,00;-0,02313
519,50;-0,02342
520,00;-0,02338
520,50;-0,02316
521,00;-0,02289
521,50;-0,02275
522,00;-0,02257
522,50;-0,02228
523,00;-0,02232
523,50;-0,02258
524,00;-0,02301
524,50;-0,02327
525,00;-0,02341
525,50;-0,02325
526,00;-0,02289
526,50;-0,02261
527,00;-0,02237
527,50;-0,02223
528,00;-0,02226
528,50;-0,02248
529,00;-0,02277
529,50;-0,02307
530,00;-0,02327
530,50;-0,02319
531,00;-0,02304
531,50;-0,02277
532,00;-0,02249
532,50;-0,02220
533,00;-0,02206
533,50;-0,02205
534,00;-0,02232
534,50;-0,02267
535,00;-0,02295
535,50;-0,02310
536,00;-0,02306
536,50;-0,02278
537,00;-0,02252
537,50;-0,02219
538,00;-0,02188
538,50;-0,02180
539,00;-0,02197
539,50;-0,02222
540,00;-0,02254
540,50;-0,02271
541,00;-0,02287
541,50;-0,02293
542,00;-0,02277
542,50;-0,02251
543,00;-0,02217
543,50;-0,02193
544,00;-0,02188
544,50;-0,02191
545,00;-0,02203
545,50;-0,02234
546,00;-0,02264
546,50;-0,02289
547,00;-0,02290
547,50;-0,02277
548,00;-0,02245
548,50;-0,02213
549,00;-0,02190
549,50;-0,02170
550,00;-0,02170
550,50;-0,02190
551,00;-0,02216
551,50;-0,02243
552,00;-0,02263
552,50;-0,02272
553,00;-0,02263
553,50;-0,02238
554,00;-0,02219
554,50;-0,02179
555,00;-0,02170
555,50;-0,02156
556,00;-0,02158
556,50;-0,02190
557,00;-0,02205
557,50;-0,02226
558,00;-0,02246
558,50;-0,02269
559,00;-0,02261
559,50;-0,02220
560,00;-0,02184
560,50;-0,02159
561,00;-0,02151
561,50;-0,02150
562,00;-0,02153
562,50;-0,02171
563,00;-0,02205
563,50;-0,02229
564,00;-0,02248
564,50;-0,02252
565,00;-0,02240
565,50;-0,02214
566,00;-0,02188
566,50;-0,02164
567,00;-0,02145
567,50;-0,02136
568,00;-0,02145
568,50;-0,02165
569,00;-0,02190
569,50;-0,02216
570,00;-0,02242
570,50;-0,02252
571,00;-0,02246
571,50;-0,02225
572,00;-0,02191
572,50;-0,02165
573,00;-0,02148
573,50;-0,02133
574,00;-0,02133
574,50;-0,02138
575,00;-0,02161
575,50;-0,02202
576,00;-0,02220
576,50;-0,02234
577,00;-0,02240
577,50;-0,02232
578,00;-0,02211
578,50;-0,02188
579,00;-0,02162
579,50;-0,02130
580,00;-0,02122
580,50;-0,02132
581,00;-0,02144
581,50;-0,02165
582,00;-0,02194
582,50;-0,02225
583,00;-0,02242
583,50;-0,02235
584,00;-0,02216
584,50;-0,02200
585,00;-0,02176
585,50;-0,02145
586,00;-0,02121
586,50;-0,02113
587,00;-0,02119
587,50;-0,02144
588,00;-0,02156
588,50;-0,02187
589,00;-0,02211
589,50;-0,02220
590,00;-0,02226
590,50;-0,02223
591,00;-0,02199
591,50;-0,02177
592,00;-0,02151
592,50;-0,02127
593,00;-0,02107
593,50;-0,02098
594,00;-0,02103
594,50;-0,02132
595,00;-0,02150
595,50;-0,02185
596,00;-0,02205
596,50;-0,02219
597,00;-0,02208
597,50;-0,02187
598,00;-0,02170
598,50;-0,02144
599,00;-0,02121
599,50;-0,02112
600,00;-0,02100
600,50;-0,02109
601,00;-0,02119
601,50;-0,02130
602,00;-0,02161
602,50;-0,02184
603,00;-0,02191
603,50;-0,02193
604,00;-0,02199
604,50;-0,02182
605,00;-0,02162
605,50;-0,02136
606,00;-0,02116
606,50;-0,02107
607,00;-0,02100
607,50;-0,02110
608,00;-0,02121
608,50;-0,02138
609,00;-0,02168
609,50;-0,02182
610,00;-0,02190
610,50;-0,02196
611,00;-0,02193
611,50;-0,02182
612,00;-0,02170
612,50;-0,02144
613,00;-0,02122
613,50;-0,02107
614,00;-0,02098
614,50;-0,02107
615,00;-0,02112
615,50;-0,02124
616,00;-0,02144
616,50;-0,02171
617,00;-0,02191
617,50;-0,02190
618,00;-0,02182
618,50;-0,02179
619,00;-0,02164
619,50;-0,02153
620,00;-0,02132
620,50;-0,02115
621,00;-0,02098
621,50;-0,02094
622,00;-0,02095
622,50;-0,02113
623,00;-0,02144
623,50;-0,02161
624,00;-0,02177
624,50;-0,02190
625,00;-0,02190
625,50;-0,02191
626,00;-0,02184
626,50;-0,02168
627,00;-0,02142
627,50;-0,02130
628,00;-0,02112
628,50;-0,02087
629,00;-0,02084
629,50;-0,02092
630,00;-0,02104
630,50;-0,02118
631,00;-0,02139
631,50;-0,02164
632,00;-0,02185
632,50;-0,02187
633,00;-0,02179
633,50;-0,02168
634,00;-0,02147
634,50;-0,02127
635,00;-0,02113
635,50;-0,02103
636,00;-0,02095
636,50;-0,02084
637,00;-0,02089
637,50;-0,02106
638,00;-0,02121
638,50;-0,02145
639,00;-0,02159
639,50;-0,02174
640,00;-0,02179
640,50;-0,02187
641,00;-0,02193
641,50;-0,02185
642,00;-0,02159
642,50;-0,02132
643,00;-0,02121
643,50;-0,02115
644,00;-0,02077
644,50;-0,02072
645,00;-0,02092
645,50;-0,02101
646,00;-0,02110
646,50;-0,02116
647,00;-0,02129
647,50;-0,02144
648,00;-0,02151
648,50;-0,02147
649,00;-0,02150
649,50;-0,02135
650,00;-0,02126
650,50;-0,02101
651,00;-0,02075
651,50;-0,02071
652,00;-0,02072
652,50;-0,02075
653,00;-0,02075
653,50;-0,02077
654,00;-0,02089
654,50;-0,02118
655,00;-0,02147
655,50;-0,02151
656,00;-0,02156
656,50;-0,02164
657,00;-0,02158
657,50;-0,02147
658,00;-0,02132
658,50;-0,02113
659,00;-0,02094
659,50;-0,02086
660,00;-0,02075
660,50;-0,02068
661,00;-0,02078
661,50;-0,02081
662,00;-0,02094
