"File_221110_222036 - RawData"
"Wavelength nm.";"Abs."
300,00;0,01990
300,50;0,04210
301,00;0,02975
301,50;0,02550
302,00;0,03169
302,50;0,03587
303,00;0,02994
303,50;0,01735
304,00;0,01537
304,50;0,01924
305,00;0,01274
305,50;0,01373
306,00;0,00267
306,50;0,00923
307,00;0,01004
307,50;0,01068
308,00;0,00807
308,50;0,00879
309,00;0,00626
309,50;0,00656
310,00;0,00369
310,50;0,00345
311,00;0,00328
311,50;0,00145
312,00;-0,00056
312,50;-0,00055
313,00;-0,00377
313,50;-0,00427
314,00;-0,00406
314,50;-0,00429
315,00;-0,00569
315,50;-0,00641
316,00;-0,00797
316,50;-0,00771
317,00;-0,00923
317,50;-0,00931
318,00;-0,00943
318,50;-0,01018
319,00;-0,01067
319,50;-0,01076
320,00;-0,01149
320,50;-0,01254
321,00;-0,01366
321,50;-0,01416
322,00;-0,01476
322,50;-0,01587
323,00;-0,01657
323,50;-0,01694
324,00;-0,01683
324,50;-0,01695
325,00;-0,01733
325,50;-0,01761
326,00;-0,01765
326,50;-0,01807
327,00;-0,01845
327,50;-0,01851
328,00;-0,01860
328,50;-0,01898
329,00;-0,01874
329,50;-0,01941
330,00;-0,01974
330,50;-0,01991
331,00;-0,02061
331,50;-0,02054
332,00;-0,02060
332,50;-0,02083
333,00;-0,02141
333,50;-0,02153
334,00;-0,02148
334,50;-0,02180
335,00;-0,02231
335,50;-0,02217
336,00;-0,02219
336,50;-0,02214
337,00;-0,02213
337,50;-0,02223
338,00;-0,02254
338,50;-0,02280
339,00;-0,02290
339,50;-0,02307
340,00;-0,02440
340,50;-0,02600
341,00;-0,02338
341,50;-0,02335
342,00;-0,02373
342,50;-0,02370
343,00;-0,02376
343,50;-0,02388
344,00;-0,02361
344,50;-0,02374
345,00;-0,02393
345,50;-0,02390
346,00;-0,02393
346,50;-0,02411
347,00;-0,02402
347,50;-0,02390
348,00;-0,02412
348,50;-0,02406
349,00;-0,02402
349,50;-0,02412
350,00;-0,02422
350,50;-0,02443
351,00;-0,02458
351,50;-0,02463
352,00;-0,02486
352,50;-0,02457
353,00;-0,02441
353,50;-0,02414
354,00;-0,02425
354,50;-0,02431
355,00;-0,02446
355,50;-0,02426
356,00;-0,02420
356,50;-0,02429
357,00;-0,02422
357,50;-0,02422
358,00;-0,02438
358,50;-0,02458
359,00;-0,02434
359,50;-0,02405
360,00;-0,02422
360,50;-0,02440
361,00;-0,02451
361,50;-0,02417
362,00;-0,02431
362,50;-0,02435
363,00;-0,02422
363,50;-0,02454
364,00;-0,02452
364,50;-0,02457
365,00;-0,02449
365,50;-0,02425
366,00;-0,02406
366,50;-0,02425
367,00;-0,02414
367,50;-0,02412
368,00;-0,02402
368,50;-0,02383
369,00;-0,02394
369,50;-0,02399
370,00;-0,02420
370,50;-0,02405
371,00;-0,02394
371,50;-0,02388
372,00;-0,02391
372,50;-0,02403
373,00;-0,02383
373,50;-0,02397
374,00;-0,02388
374,50;-0,02377
375,00;-0,02348
375,50;-0,02356
376,00;-0,02365
376,50;-0,02371
377,00;-0,02364
377,50;-0,02342
378,00;-0,02345
378,50;-0,02351
379,00;-0,02348
379,50;-0,02351
380,00;-0,02357
380,50;-0,02356
381,00;-0,02341
381,50;-0,02336
382,00;-0,02353
382,50;-0,02339
383,00;-0,02325
383,50;-0,02312
384,00;-0,02321
384,50;-0,02324
385,00;-0,02335
385,50;-0,02348
386,00;-0,02362
386,50;-0,02370
387,00;-0,02354
387,50;-0,02347
388,00;-0,02350
388,50;-0,02348
389,00;-0,02345
389,50;-0,02335
390,00;-0,02332
390,50;-0,02347
391,00;-0,02347
391,50;-0,02345
392,00;-0,02341
392,50;-0,02339
393,00;-0,02330
393,50;-0,02330
394,00;-0,02312
394,50;-0,02319
395,00;-0,02319
395,50;-0,02328
396,00;-0,02347
396,50;-0,02342
397,00;-0,02324
397,50;-0,02318
398,00;-0,02322
398,50;-0,02312
399,00;-0,02324
399,50;-0,02324
400,00;-0,02315
400,50;-0,02310
401,00;-0,02304
401,50;-0,02303
402,00;-0,02315
402,50;-0,02319
403,00;-0,02315
403,50;-0,02299
404,00;-0,02289
404,50;-0,02281
405,00;-0,02286
405,50;-0,02299
406,00;-0,02304
406,50;-0,02299
407,00;-0,02284
407,50;-0,02280
408,00;-0,02278
408,50;-0,02290
409,00;-0,02299
409,50;-0,02289
410,00;-0,02277
410,50;-0,02267
411,00;-0,02269
411,50;-0,02263
412,00;-0,02272
412,50;-0,02275
413,00;-0,02274
413,50;-0,02258
414,00;-0,02255
414,50;-0,02245
415,00;-0,02245
415,50;-0,02252
416,00;-0,02266
416,50;-0,02278
417,00;-0,02269
417,50;-0,02251
418,00;-0,02248
418,50;-0,02251
419,00;-0,02257
419,50;-0,02260
420,00;-0,02249
420,50;-0,02237
421,00;-0,02245
421,50;-0,02254
422,00;-0,02257
422,50;-0,02254
423,00;-0,02248
423,50;-0,02249
424,00;-0,02237
424,50;-0,02231
425,00;-0,02226
425,50;-0,02226
426,00;-0,02232
426,50;-0,02225
427,00;-0,02220
427,50;-0,02225
428,00;-0,02223
428,50;-0,02232
429,00;-0,02222
429,50;-0,02235
430,00;-0,02232
430,50;-0,02226
431,00;-0,02213
431,50;-0,02203
432,00;-0,02196
432,50;-0,02196
433,00;-0,02209
433,50;-0,02211
434,00;-0,02214
434,50;-0,02202
435,00;-0,02199
435,50;-0,02199
436,00;-0,02197
436,50;-0,02197
437,00;-0,02200
437,50;-0,02199
438,00;-0,02190
438,50;-0,02191
439,00;-0,02184
439,50;-0,02185
440,00;-0,02174
440,50;-0,02174
441,00;-0,02180
441,50;-0,02180
442,00;-0,02168
442,50;-0,02171
443,00;-0,02171
443,50;-0,02168
444,00;-0,02155
444,50;-0,02159
445,00;-0,02164
445,50;-0,02165
446,00;-0,02167
446,50;-0,02167
447,00;-0,02155
447,50;-0,02150
448,00;-0,02159
448,50;-0,02158
449,00;-0,02153
449,50;-0,02158
450,00;-0,02171
450,50;-0,02164
451,00;-0,02171
451,50;-0,02168
452,00;-0,02158
452,50;-0,02151
453,00;-0,02147
453,50;-0,02132
454,00;-0,02121
454,50;-0,02141
455,00;-0,02158
455,50;-0,02156
456,00;-0,02147
456,50;-0,02142
457,00;-0,02136
457,50;-0,02124
458,00;-0,02115
458,50;-0,02122
459,00;-0,02122
459,50;-0,02133
460,00;-0,02139
460,50;-0,02144
461,00;-0,02144
461,50;-0,02132
462,00;-0,02110
462,50;-0,02104
463,00;-0,02106
463,50;-0,02112
464,00;-0,02115
464,50;-0,02122
465,00;-0,02124
465,50;-0,02122
466,00;-0,02113
466,50;-0,02103
467,00;-0,02089
467,50;-0,02089
468,00;-0,02090
468,50;-0,02101
469,00;-0,02110
469,50;-0,02119
470,00;-0,02109
470,50;-0,02097
471,00;-0,02075
471,50;-0,02066
472,00;-0,02078
472,50;-0,02081
473,00;-0,02078
473,50;-0,02083
474,00;-0,02084
474,50;-0,02087
475,00;-0,02087
475,50;-0,02080
476,00;-0,02072
476,50;-0,02077
477,00;-0,02081
477,50;-0,02077
478,00;-0,02077
478,50;-0,02080
479,00;-0,02071
479,50;-0,02072
480,00;-0,02072
480,50;-0,02071
481,00;-0,02063
481,50;-0,02061
482,00;-0,02061
482,50;-0,02060
483,00;-0,02060
483,50;-0,02057
484,00;-0,02052
484,50;-0,02052
485,00;-0,02057
485,50;-0,02052
486,00;-0,02057
486,50;-0,02065
487,00;-0,02060
487,50;-0,02058
488,00;-0,02051
488,50;-0,02046
489,00;-0,02040
489,50;-0,02042
490,00;-0,02052
490,50;-0,02049
491,00;-0,02051
491,50;-0,02046
492,00;-0,02043
492,50;-0,02049
493,00;-0,02049
493,50;-0,02042
494,00;-0,02032
494,50;-0,02020
495,00;-0,02017
495,50;-0,02026
496,00;-0,02037
496,50;-0,02039
497,00;-0,02031
497,50;-0,02022
498,00;-0,02023
498,50;-0,02020
499,00;-0,02005
499,50;-0,02003
500,00;-0,02010
500,50;-0,02010
501,00;-0,02010
501,50;-0,02014
502,00;-0,02020
502,50;-0,02023
503,00;-0,02022
503,50;-0,02020
504,00;-0,02017
504,50;-0,02019
505,00;-0,02020
505,50;-0,02020
506,00;-0,02023
506,50;-0,02017
507,00;-0,02020
507,50;-0,02023
508,00;-0,02019
508,50;-0,02003
509,00;-0,01991
509,50;-0,01990
510,00;-0,01993
510,50;-0,01991
511,00;-0,01991
511,50;-0,01997
512,00;-0,02000
