"File_221110_220917 - RawData"
"Wavelength nm.","Abs."
300.00,0.08766
300.50,0.09819
301.00,0.09370
301.50,0.09102
302.00,0.07603
302.50,0.07033
303.00,0.07350
303.50,0.05807
304.00,0.05615
304.50,0.05806
305.00,0.05368
305.50,0.05569
306.00,0.04930
306.50,0.05305
307.00,0.04553
307.50,0.04358
308.00,0.04042
308.50,0.03781
309.00,0.03363
309.50,0.03143
310.00,0.03333
310.50,0.03076
311.00,0.02693
311.50,0.02606
312.00,0.01868
312.50,0.01817
313.00,0.01332
313.50,0.01385
314.00,0.01396
314.50,0.01436
315.00,0.01373
315.50,0.01369
316.00,0.01079
316.50,0.00839
317.00,0.00468
317.50,0.00227
318.00,0.00066
318.50,0.00027
319.00,0.00002
319.50,0.00114
320.00,0.00136
320.50,0.00000
321.00,-0.00249
321.50,-0.00423
322.00,-0.00708
322.50,-0.01016
323.00,-0.01096
323.50,-0.01082
324.00,-0.00977
324.50,-0.00931
325.00,-0.00845
325.50,-0.00844
326.00,-0.00975
326.50,-0.01212
327.00,-0.01411
327.50,-0.01595
328.00,-0.01704
328.50,-0.01689
329.00,-0.01608
329.50,-0.01514
330.00,-0.01405
330.50,-0.01357
331.00,-0.01453
331.50,-0.01576
332.00,-0.01735
332.50,-0.01921
333.00,-0.02066
333.50,-0.02153
334.00,-0.02116
334.50,-0.02052
335.00,-0.01915
335.50,-0.01799
336.00,-0.01735
336.50,-0.01781
337.00,-0.01877
337.50,-0.02052
338.00,-0.02225
338.50,-0.02364
339.00,-0.02431
339.50,-0.02400
340.00,-0.02484
340.50,-0.02470
341.00,-0.02110
341.50,-0.01987
342.00,-0.01959
342.50,-0.02022
343.00,-0.02142
343.50,-0.02299
344.00,-0.02472
344.50,-0.02583
345.00,-0.02608
345.50,-0.02573
346.00,-0.02473
346.50,-0.02310
347.00,-0.02151
347.50,-0.02072
348.00,-0.02036
348.50,-0.02151
349.00,-0.02289
349.50,-0.02469
350.00,-0.02611
350.50,-0.02719
351.00,-0.02759
351.50,-0.02681
352.00,-0.02556
352.50,-0.02394
353.00,-0.02238
353.50,-0.02142
354.00,-0.02126
354.50,-0.02206
355.00,-0.02335
355.50,-0.02477
356.00,-0.02637
356.50,-0.02733
357.00,-0.02774
357.50,-0.02757
358.00,-0.02664
358.50,-0.02515
359.00,-0.02377
359.50,-0.02243
360.00,-0.02155
360.50,-0.02171
361.00,-0.02228
361.50,-0.02386
362.00,-0.02525
362.50,-0.02673
363.00,-0.02768
363.50,-0.02812
364.00,-0.02779
364.50,-0.02701
365.00,-0.02563
365.50,-0.02406
366.00,-0.02274
366.50,-0.02164
367.00,-0.02153
367.50,-0.02211
368.00,-0.02307
368.50,-0.02440
369.00,-0.02573
369.50,-0.02689
370.00,-0.02791
370.50,-0.02776
371.00,-0.02731
371.50,-0.02612
372.00,-0.02437
372.50,-0.02299
373.00,-0.02182
373.50,-0.02124
374.00,-0.02132
374.50,-0.02194
375.00,-0.02299
375.50,-0.02451
376.00,-0.02583
376.50,-0.02696
377.00,-0.02762
377.50,-0.02731
378.00,-0.02657
378.50,-0.02545
379.00,-0.02393
379.50,-0.02229
380.00,-0.02147
380.50,-0.02084
381.00,-0.02077
381.50,-0.02122
382.00,-0.02226
382.50,-0.02347
383.00,-0.02484
383.50,-0.02626
384.00,-0.02724
384.50,-0.02744
385.00,-0.02708
385.50,-0.02625
386.00,-0.02512
386.50,-0.02379
387.00,-0.02240
387.50,-0.02138
388.00,-0.02078
388.50,-0.02071
389.00,-0.02133
389.50,-0.02219
390.00,-0.02330
390.50,-0.02477
391.00,-0.02605
391.50,-0.02696
392.00,-0.02753
392.50,-0.02745
393.00,-0.02679
393.50,-0.02570
394.00,-0.02440
394.50,-0.02313
395.00,-0.02180
395.50,-0.02092
396.00,-0.02049
396.50,-0.02058
397.00,-0.02127
397.50,-0.02226
398.00,-0.02359
398.50,-0.02487
399.00,-0.02605
399.50,-0.02696
400.00,-0.02730
400.50,-0.02708
401.00,-0.02650
401.50,-0.02539
402.00,-0.02405
402.50,-0.02260
403.00,-0.02145
403.50,-0.02054
404.00,-0.02011
404.50,-0.02031
405.00,-0.02089
405.50,-0.02190
406.00,-0.02319
406.50,-0.02446
407.00,-0.02553
407.50,-0.02644
408.00,-0.02715
408.50,-0.02707
409.00,-0.02661
409.50,-0.02582
410.00,-0.02457
410.50,-0.02328
411.00,-0.02202
411.50,-0.02090
412.00,-0.02005
412.50,-0.01976
413.00,-0.01985
413.50,-0.02046
414.00,-0.02144
414.50,-0.02249
415.00,-0.02376
415.50,-0.02504
416.00,-0.02600
416.50,-0.02660
417.00,-0.02681
417.50,-0.02655
418.00,-0.02592
418.50,-0.02495
419.00,-0.02380
419.50,-0.02255
420.00,-0.02118
420.50,-0.02022
421.00,-0.01955
421.50,-0.01933
422.00,-0.01965
422.50,-0.02026
423.00,-0.02132
423.50,-0.02252
424.00,-0.02371
424.50,-0.02492
425.00,-0.02583
425.50,-0.02640
426.00,-0.02652
426.50,-0.02621
427.00,-0.02551
427.50,-0.02458
428.00,-0.02348
428.50,-0.02222
429.00,-0.02090
429.50,-0.01996
430.00,-0.01926
430.50,-0.01900
431.00,-0.01901
431.50,-0.01938
432.00,-0.02029
432.50,-0.02130
433.00,-0.02257
433.50,-0.02373
434.00,-0.02472
434.50,-0.02562
435.00,-0.02611
435.50,-0.02626
436.00,-0.02605
436.50,-0.02541
437.00,-0.02414
437.50,-0.02307
438.00,-0.02197
438.50,-0.02090
439.00,-0.01987
439.50,-0.01910
440.00,-0.01863
440.50,-0.01855
441.00,-0.01872
441.50,-0.01924
442.00,-0.01997
442.50,-0.02100
443.00,-0.02213
443.50,-0.02330
444.00,-0.02431
444.50,-0.02524
445.00,-0.02574
445.50,-0.02597
446.00,-0.02573
446.50,-0.02512
447.00,-0.02419
447.50,-0.02309
448.00,-0.02205
448.50,-0.02081
449.00,-0.01971
449.50,-0.01898
450.00,-0.01862
450.50,-0.01833
451.00,-0.01849
451.50,-0.01895
452.00,-0.01967
452.50,-0.02068
453.00,-0.02185
453.50,-0.02299
454.00,-0.02402
454.50,-0.02493
455.00,-0.02542
455.50,-0.02571
456.00,-0.02568
456.50,-0.02538
457.00,-0.02475
457.50,-0.02386
458.00,-0.02290
458.50,-0.02180
459.00,-0.02071
459.50,-0.01978
460.00,-0.01888
460.50,-0.01822
461.00,-0.01796
461.50,-0.01791
462.00,-0.01825
462.50,-0.01881
463.00,-0.01965
463.50,-0.02063
464.00,-0.02159
464.50,-0.02272
465.00,-0.02371
465.50,-0.02438
466.00,-0.02504
466.50,-0.02541
467.00,-0.02548
467.50,-0.02522
468.00,-0.02470
468.50,-0.02400
469.00,-0.02301
469.50,-0.02196
470.00,-0.02072
470.50,-0.01964
471.00,-0.01871
471.50,-0.01804
472.00,-0.01764
472.50,-0.01756
473.00,-0.01775
473.50,-0.01805
474.00,-0.01865
474.50,-0.01961
475.00,-0.02072
475.50,-0.02179
476.00,-0.02277
476.50,-0.02376
477.00,-0.02451
477.50,-0.02493
478.00,-0.02518
478.50,-0.02518
479.00,-0.02484
479.50,-0.02431
480.00,-0.02345
480.50,-0.02258
481.00,-0.02164
481.50,-0.02061
482.00,-0.01962
482.50,-0.01872
483.00,-0.01799
483.50,-0.01741
484.00,-0.01711
484.50,-0.01703
485.00,-0.01735
485.50,-0.01794
486.00,-0.01875
486.50,-0.01962
487.00,-0.02046
487.50,-0.02144
488.00,-0.02229
488.50,-0.02312
489.00,-0.02370
489.50,-0.02441
490.00,-0.02486
490.50,-0.02493
491.00,-0.02472
491.50,-0.02435
492.00,-0.02373
492.50,-0.02303
493.00,-0.02220
493.50,-0.02124
494.00,-0.02019
494.50,-0.01897
495.00,-0.01807
495.50,-0.01736
496.00,-0.01695
496.50,-0.01671
497.00,-0.01666
497.50,-0.01688
498.00,-0.01732
498.50,-0.01801
499.00,-0.01889
499.50,-0.01982
500.00,-0.02086
500.50,-0.02184
501.00,-0.02281
501.50,-0.02359
502.00,-0.02414
502.50,-0.02448
503.00,-0.02477
503.50,-0.02473
504.00,-0.02443
504.50,-0.02388
505.00,-0.02316
505.50,-0.02237
506.00,-0.02155
506.50,-0.02057
507.00,-0.01959
507.50,-0.01866
508.00,-0.01787
508.50,-0.01717
509.00,-0.01666
509.50,-0.01646
510.00,-0.01640
510.50,-0.01660
511.00,-0.01692
511.50,-0.01750
512.00,-0.01826
512.50,-0.01907
513.00,-0.01988
513.50,-0.02072
514.00,-0.02168
514.50,-0.02249
515.00,-0.02321
515.50,-0.02373
516.00,-0.02422
516.50,-0.02440
517.00,-0.02434
517.50,-0.02412
518.00,-0.02376
518.50,-0.02309
519.00,-0.02240
519.50,-0.02158
520.00,-0.02049
520.50,-0.01945
521.00,-0.01857
521.50,-0.01797
522.00,-0.01729
522.50,-0.01657
523.00,-0.01605
523.50,-0.01588
524.00,-0.01610
524.50,-0.01633
525.00,-0.01672
525.50,-0.01720
526.00,-0.01790
526.50,-0.01872
527.00,-0.01964
527.50,-0.02049
