"File_221110_215921 - RawData"
"Wavelength nm.","Abs."
300.00,0.19911
300.50,0.15736
301.00,0.14882
301.50,0.16939
302.00,0.14539
302.50,0.15137
303.00,0.15887
303.50,0.14107
304.00,0.12236
304.50,0.13243
305.00,0.11424
305.50,0.11728
306.00,0.10924
306.50,0.11191
307.00,0.10191
307.50,0.09940
308.00,0.09253
308.50,0.08746
309.00,0.08351
309.50,0.08040
310.00,0.07425
310.50,0.07208
311.00,0.06744
311.50,0.06390
312.00,0.05763
312.50,0.05611
313.00,0.05240
313.50,0.04997
314.00,0.04773
314.50,0.04509
315.00,0.04005
315.50,0.03871
316.00,0.03612
316.50,0.03441
317.00,0.03127
317.50,0.02794
318.00,0.02611
318.50,0.02522
319.00,0.02386
319.50,0.02205
320.00,0.01889
320.50,0.01639
321.00,0.01479
321.50,0.01372
322.00,0.01190
322.50,0.00935
323.00,0.00719
323.50,0.00618
324.00,0.00624
324.50,0.00481
325.00,0.00269
325.50,0.00052
326.00,-0.00009
326.50,-0.00029
327.00,-0.00101
327.50,-0.00291
328.00,-0.00417
328.50,-0.00505
329.00,-0.00519
329.50,-0.00587
330.00,-0.00674
330.50,-0.00816
331.00,-0.00952
331.50,-0.00996
332.00,-0.00975
332.50,-0.00998
333.00,-0.01108
333.50,-0.01251
334.00,-0.01361
334.50,-0.01393
335.00,-0.01355
335.50,-0.01370
336.00,-0.01474
336.50,-0.01572
337.00,-0.01581
337.50,-0.01553
338.00,-0.01561
338.50,-0.01613
339.00,-0.01750
339.50,-0.01834
340.00,-0.02000
340.50,-0.02072
341.00,-0.01791
341.50,-0.01823
342.00,-0.01926
342.50,-0.01967
343.00,-0.02002
343.50,-0.01964
344.00,-0.01929
344.50,-0.01965
345.00,-0.02036
345.50,-0.02098
346.00,-0.02121
346.50,-0.02081
347.00,-0.02032
347.50,-0.02055
348.00,-0.02112
348.50,-0.02199
349.00,-0.02214
349.50,-0.02177
350.00,-0.02116
350.50,-0.02144
351.00,-0.02220
351.50,-0.02301
352.00,-0.02330
352.50,-0.02264
353.00,-0.02199
353.50,-0.02176
354.00,-0.02216
354.50,-0.02277
355.00,-0.02333
355.50,-0.02306
356.00,-0.02258
356.50,-0.02223
357.00,-0.02237
357.50,-0.02296
358.00,-0.02365
358.50,-0.02390
359.00,-0.02327
359.50,-0.02260
360.00,-0.02240
360.50,-0.02289
361.00,-0.02332
361.50,-0.02399
362.00,-0.02386
362.50,-0.02325
363.00,-0.02293
363.50,-0.02301
364.00,-0.02342
364.50,-0.02431
365.00,-0.02431
365.50,-0.02393
366.00,-0.02327
366.50,-0.02286
367.00,-0.02293
367.50,-0.02313
368.00,-0.02385
368.50,-0.02394
369.00,-0.02362
369.50,-0.02299
370.00,-0.02274
370.50,-0.02269
371.00,-0.02304
371.50,-0.02354
372.00,-0.02380
372.50,-0.02354
373.00,-0.02299
373.50,-0.02243
374.00,-0.02232
374.50,-0.02267
375.00,-0.02330
375.50,-0.02354
376.00,-0.02327
376.50,-0.02277
377.00,-0.02217
377.50,-0.02185
378.00,-0.02206
378.50,-0.02258
379.00,-0.02313
379.50,-0.02309
380.00,-0.02264
380.50,-0.02213
381.00,-0.02176
381.50,-0.02202
382.00,-0.02252
382.50,-0.02296
383.00,-0.02312
383.50,-0.02301
384.00,-0.02261
384.50,-0.02196
385.00,-0.02190
385.50,-0.02231
386.00,-0.02304
386.50,-0.02350
387.00,-0.02354
387.50,-0.02316
388.00,-0.02254
388.50,-0.02203
389.00,-0.02188
389.50,-0.02238
390.00,-0.02290
390.50,-0.02361
391.00,-0.02370
391.50,-0.02335
392.00,-0.02275
392.50,-0.02209
393.00,-0.02203
393.50,-0.02255
394.00,-0.02301
394.50,-0.02342
395.00,-0.02361
395.50,-0.02319
396.00,-0.02258
396.50,-0.02191
397.00,-0.02187
397.50,-0.02226
398.00,-0.02287
398.50,-0.02333
399.00,-0.02354
399.50,-0.02325
400.00,-0.02264
400.50,-0.02199
401.00,-0.02168
401.50,-0.02199
402.00,-0.02269
402.50,-0.02341
403.00,-0.02365
403.50,-0.02333
404.00,-0.02260
404.50,-0.02199
405.00,-0.02159
405.50,-0.02165
406.00,-0.02216
406.50,-0.02283
407.00,-0.02338
407.50,-0.02348
408.00,-0.02319
408.50,-0.02246
409.00,-0.02168
409.50,-0.02130
410.00,-0.02142
410.50,-0.02200
411.00,-0.02278
411.50,-0.02318
412.00,-0.02307
412.50,-0.02267
413.00,-0.02200
413.50,-0.02127
414.00,-0.02109
414.50,-0.02115
415.00,-0.02173
415.50,-0.02248
416.00,-0.02306
416.50,-0.02318
417.00,-0.02275
417.50,-0.02206
418.00,-0.02136
418.50,-0.02097
419.00,-0.02107
419.50,-0.02159
420.00,-0.02228
420.50,-0.02287
421.00,-0.02309
421.50,-0.02271
422.00,-0.02199
422.50,-0.02119
423.00,-0.02071
423.50,-0.02080
424.00,-0.02122
424.50,-0.02191
425.00,-0.02254
425.50,-0.02289
426.00,-0.02264
426.50,-0.02213
