"File_221110_220658 - RawData"
"Wavelength nm.","Abs."
300.00,-0.48444
300.50,-0.42430
301.00,-0.37218
301.50,-0.32480
302.00,-0.28371
302.50,-0.23924
303.00,-0.20660
303.50,-0.18188
304.00,-0.16606
304.50,-0.14232
305.00,-0.12358
305.50,-0.11020
306.00,-0.12840
306.50,-0.11446
307.00,-0.09920
307.50,-0.08893
308.00,-0.08078
308.50,-0.07397
309.00,-0.06889
309.50,-0.05766
310.00,-0.05142
310.50,-0.04372
311.00,-0.04156
311.50,-0.03909
312.00,-0.03937
312.50,-0.03511
313.00,-0.03496
313.50,-0.03146
314.00,-0.02817
314.50,-0.02666
315.00,-0.02579
315.50,-0.02614
316.00,-0.02705
316.50,-0.02559
317.00,-0.02486
317.50,-0.02254
318.00,-0.02042
318.50,-0.01877
319.00,-0.01859
319.50,-0.02014
320.00,-0.02277
320.50,-0.02380
321.00,-0.02367
321.50,-0.02274
322.00,-0.02124
322.50,-0.02121
323.00,-0.02097
323.50,-0.02171
324.00,-0.02301
324.50,-0.02417
325.00,-0.02408
325.50,-0.02284
326.00,-0.02174
326.50,-0.02054
327.00,-0.02022
327.50,-0.02063
328.00,-0.02254
328.50,-0.02412
329.00,-0.02495
329.50,-0.02534
330.00,-0.02423
330.50,-0.02312
331.00,-0.02190
331.50,-0.02155
332.00,-0.02180
332.50,-0.02318
333.00,-0.02432
333.50,-0.02562
334.00,-0.02539
334.50,-0.02452
335.00,-0.02284
335.50,-0.02200
336.00,-0.02139
336.50,-0.02190
337.00,-0.02339
337.50,-0.02461
338.00,-0.02597
338.50,-0.02658
339.00,-0.02625
339.50,-0.02481
340.00,-0.02490
340.50,-0.02496
341.00,-0.02252
341.50,-0.02315
342.00,-0.02441
342.50,-0.02574
343.00,-0.02625
343.50,-0.02661
344.00,-0.02589
344.50,-0.02428
345.00,-0.02321
345.50,-0.02223
346.00,-0.02260
346.50,-0.02339
347.00,-0.02481
347.50,-0.02612
348.00,-0.02658
348.50,-0.02681
349.00,-0.02602
349.50,-0.02478
350.00,-0.02318
350.50,-0.02237
