"File_221110_220341 - RawData"
"Wavelength nm.","Abs."
300.00,0.04185
300.50,0.07991
301.00,0.07266
301.50,0.04297
302.00,0.04433
302.50,0.05954
303.00,0.05632
303.50,0.04257
304.00,0.03766
304.50,0.03581
305.00,0.03835
305.50,0.03267
306.00,0.02945
306.50,0.02631
307.00,0.02530
307.50,0.02792
308.00,0.02887
308.50,0.02464
309.00,0.02048
309.50,0.01567
310.00,0.01620
310.50,0.01479
311.00,0.01453
311.50,0.01231
312.00,0.01070
312.50,0.00792
313.00,0.00575
313.50,0.00380
314.00,0.00308
314.50,0.00201
315.00,0.00049
315.50,0.00058
316.00,-0.00095
316.50,-0.00201
317.00,-0.00334
317.50,-0.00412
318.00,-0.00352
318.50,-0.00371
319.00,-0.00540
319.50,-0.00688
320.00,-0.00858
320.50,-0.01001
321.00,-0.00935
321.50,-0.00990
322.00,-0.01036
322.50,-0.01154
323.00,-0.01384
323.50,-0.01544
324.00,-0.01563
324.50,-0.01489
325.00,-0.01506
325.50,-0.01491
326.00,-0.01543
326.50,-0.01675
327.00,-0.01715
327.50,-0.01715
328.00,-0.01718
328.50,-0.01721
329.00,-0.01727
329.50,-0.01808
330.00,-0.01961
330.50,-0.02072
331.00,-0.02094
331.50,-0.02095
332.00,-0.02032
332.50,-0.02022
333.00,-0.02110
333.50,-0.02168
334.00,-0.02223
334.50,-0.02306
335.00,-0.02290
335.50,-0.02187
336.00,-0.02170
336.50,-0.02150
337.00,-0.02257
337.50,-0.02304
338.00,-0.02385
338.50,-0.02435
339.00,-0.02403
339.50,-0.02315
340.00,-0.02455
340.50,-0.02620
341.00,-0.02443
341.50,-0.02470
342.00,-0.02533
342.50,-0.02502
343.00,-0.02458
343.50,-0.02420
344.00,-0.02415
344.50,-0.02402
345.00,-0.02472
345.50,-0.02538
346.00,-0.02571
346.50,-0.02609
347.00,-0.02548
347.50,-0.02484
348.00,-0.02460
348.50,-0.02486
349.00,-0.02519
349.50,-0.02603
350.00,-0.02631
350.50,-0.02641
351.00,-0.02606
351.50,-0.02556
352.00,-0.02519
352.50,-0.02507
353.00,-0.02550
353.50,-0.02583
354.00,-0.02617
354.50,-0.02623
355.00,-0.02614
355.50,-0.02567
356.00,-0.02522
356.50,-0.02501
357.00,-0.02545
357.50,-0.02600
358.00,-0.02632
358.50,-0.02687
359.00,-0.02670
359.50,-0.02638
360.00,-0.02567
360.50,-0.02527
361.00,-0.02534
361.50,-0.02567
362.00,-0.02603
362.50,-0.02673
363.00,-0.02675
363.50,-0.02684
364.00,-0.02625
364.50,-0.02600
365.00,-0.02557
365.50,-0.02541
366.00,-0.02547
366.50,-0.02605
367.00,-0.02657
367.50,-0.02675
368.00,-0.02686
368.50,-0.02626
369.00,-0.02576
369.50,-0.02524
370.00,-0.02516
370.50,-0.02551
371.00,-0.02589
371.50,-0.02629
372.00,-0.02655
372.50,-0.02670
373.00,-0.02626
373.50,-0.02580
374.00,-0.02538
374.50,-0.02510
375.00,-0.02504
375.50,-0.02533
376.00,-0.02576
376.50,-0.02625
377.00,-0.02647
377.50,-0.02605
378.00,-0.02559
378.50,-0.02513
379.00,-0.02467
379.50,-0.02467
380.00,-0.02501
380.50,-0.02544
381.00,-0.02574
381.50,-0.02603
382.00,-0.02606
382.50,-0.02600
383.00,-0.02553
383.50,-0.02512
384.00,-0.02493
384.50,-0.02463
385.00,-0.02489
385.50,-0.02542
386.00,-0.02596
386.50,-0.02629
387.00,-0.02637
387.50,-0.02628
388.00,-0.02579
388.50,-0.02530
389.00,-0.02496
389.50,-0.02477
390.00,-0.02473
390.50,-0.02515
391.00,-0.02553
391.50,-0.02600
392.00,-0.02623
392.50,-0.02618
393.00,-0.02582
393.50,-0.02538
394.00,-0.02493
394.50,-0.02483
395.00,-0.02472
395.50,-0.02481
396.00,-0.02513
396.50,-0.02559
397.00,-0.02594
397.50,-0.02602
398.00,-0.02597
398.50,-0.02563
399.00,-0.02525
399.50,-0.02493
400.00,-0.02469
400.50,-0.02455
401.00,-0.02464
401.50,-0.02507
402.00,-0.02542
402.50,-0.02577
403.00,-0.02574
403.50,-0.02559
404.00,-0.02527
404.50,-0.02496
405.00,-0.02464
405.50,-0.02446
406.00,-0.02448
406.50,-0.02451
407.00,-0.02486
407.50,-0.02513
408.00,-0.02544
408.50,-0.02562
409.00,-0.02554
409.50,-0.02527
410.00,-0.02501
410.50,-0.02455
411.00,-0.02423
411.50,-0.02415
412.00,-0.02423
412.50,-0.02444
413.00,-0.02472
413.50,-0.02504
414.00,-0.02525
414.50,-0.02522
415.00,-0.02510
415.50,-0.02483
416.00,-0.02457
416.50,-0.02423
417.00,-0.02400
417.50,-0.02379
418.00,-0.02382
418.50,-0.02405
419.00,-0.02435
419.50,-0.02469
420.00,-0.02490
420.50,-0.02495
421.00,-0.02489
421.50,-0.02470
422.00,-0.02431
422.50,-0.02391
423.00,-0.02371
423.50,-0.02357
424.00,-0.02370
424.50,-0.02383
425.00,-0.02406
425.50,-0.02437
426.00,-0.02463
426.50,-0.02467
427.00,-0.02461
427.50,-0.02448
428.00,-0.02422
428.50,-0.02391
429.00,-0.02357
429.50,-0.02344
430.00,-0.02336
430.50,-0.02351
431.00,-0.02364
431.50,-0.02383
432.00,-0.02406
432.50,-0.02423
433.00,-0.02448
433.50,-0.02435
434.00,-0.02412
434.50,-0.02382
435.00,-0.02347
435.50,-0.02321
436.00,-0.02306
436.50,-0.02304
437.00,-0.02324
437.50,-0.02344
438.00,-0.02370
438.50,-0.02393
439.00,-0.02408
439.50,-0.02414
440.00,-0.02405
440.50,-0.02390
441.00,-0.02362
441.50,-0.02327
442.00,-0.02290
442.50,-0.02275
443.00,-0.02272
443.50,-0.02281
444.00,-0.02298
444.50,-0.02327
445.00,-0.02348
445.50,-0.02379
446.00,-0.02396
446.50,-0.02388
447.00,-0.02370
447.50,-0.02341
448.00,-0.02319
448.50,-0.02292
449.00,-0.02261
449.50,-0.02245
450.00,-0.02252
450.50,-0.02267
451.00,-0.02287
451.50,-0.02316
452.00,-0.02341
452.50,-0.02367
453.00,-0.02367
453.50,-0.02359
454.00,-0.02339
454.50,-0.02319
