"File_221110_221150 - RawData"
"Wavelength nm.","Abs."
300.00,0.01785
300.50,0.06075
301.00,0.07271
301.50,0.04675
302.00,0.06302
302.50,0.06049
303.00,0.05756
303.50,0.05048
304.00,0.04381
304.50,0.04338
305.00,0.03818
305.50,0.04091
306.00,0.03670
306.50,0.03835
307.00,0.03123
307.50,0.03146
308.00,0.03236
308.50,0.02753
309.00,0.02061
309.50,0.02245
310.00,0.02072
310.50,0.01927
311.00,0.01721
311.50,0.01477
312.00,0.01260
312.50,0.01178
313.00,0.00900
313.50,0.00906
314.00,0.00639
314.50,0.00438
315.00,0.00339
315.50,0.00214
316.00,0.00153
316.50,0.00133
317.00,0.00006
317.50,-0.00105
318.00,-0.00233
318.50,-0.00250
319.00,-0.00359
319.50,-0.00349
320.00,-0.00424
320.50,-0.00603
321.00,-0.00650
321.50,-0.00766
322.00,-0.00954
322.50,-0.01070
323.00,-0.01175
323.50,-0.01167
324.00,-0.01216
324.50,-0.01257
325.00,-0.01262
325.50,-0.01260
326.00,-0.01334
326.50,-0.01378
327.00,-0.01443
327.50,-0.01468
328.00,-0.01505
328.50,-0.01555
329.00,-0.01656
329.50,-0.01706
330.00,-0.01749
330.50,-0.01813
331.00,-0.01846
331.50,-0.01863
332.00,-0.01868
332.50,-0.01903
333.00,-0.01909
333.50,-0.01942
334.00,-0.01965
334.50,-0.02007
335.00,-0.02036
335.50,-0.02007
336.00,-0.02023
336.50,-0.02042
337.00,-0.02014
337.50,-0.02069
338.00,-0.02075
338.50,-0.02141
339.00,-0.02187
339.50,-0.02203
340.00,-0.02335
340.50,-0.02477
341.00,-0.02271
341.50,-0.02258
342.00,-0.02251
342.50,-0.02238
343.00,-0.02251
343.50,-0.02234
344.00,-0.02277
344.50,-0.02267
345.00,-0.02287
345.50,-0.02299
346.00,-0.02333
346.50,-0.02307
347.00,-0.02303
347.50,-0.02309
348.00,-0.02341
348.50,-0.02359
349.00,-0.02350
349.50,-0.02362
350.00,-0.02354
350.50,-0.02386
351.00,-0.02391
351.50,-0.02393
352.00,-0.02411
352.50,-0.02403
353.00,-0.02385
353.50,-0.02394
354.00,-0.02396
354.50,-0.02420
355.00,-0.02417
355.50,-0.02415
356.00,-0.02414
356.50,-0.02409
357.00,-0.02399
357.50,-0.02405
358.00,-0.02405
358.50,-0.02400
359.00,-0.02414
359.50,-0.02388
360.00,-0.02385
360.50,-0.02406
361.00,-0.02403
361.50,-0.02400
362.00,-0.02403
362.50,-0.02399
363.00,-0.02383
363.50,-0.02423
364.00,-0.02434
364.50,-0.02463
365.00,-0.02435
365.50,-0.02414
366.00,-0.02406
366.50,-0.02411
367.00,-0.02420
367.50,-0.02408
368.00,-0.02393
368.50,-0.02382
369.00,-0.02396
369.50,-0.02370
370.00,-0.02365
370.50,-0.02377
371.00,-0.02380
371.50,-0.02357
372.00,-0.02345
372.50,-0.02344
373.00,-0.02341
373.50,-0.02359
374.00,-0.02365
374.50,-0.02371
375.00,-0.02353
375.50,-0.02351
376.00,-0.02350
376.50,-0.02344
377.00,-0.02344
377.50,-0.02328
378.00,-0.02309
378.50,-0.02304
379.00,-0.02312
379.50,-0.02324
380.00,-0.02342
380.50,-0.02345
381.00,-0.02336
381.50,-0.02324
382.00,-0.02328
382.50,-0.02330
383.00,-0.02312
383.50,-0.02332
384.00,-0.02341
384.50,-0.02319
385.00,-0.02327
385.50,-0.02332
386.00,-0.02347
386.50,-0.02350
387.00,-0.02341
387.50,-0.02336
388.00,-0.02344
388.50,-0.02339
389.00,-0.02342
389.50,-0.02338
390.00,-0.02338
390.50,-0.02336
391.00,-0.02335
391.50,-0.02345
392.00,-0.02347
392.50,-0.02324
393.00,-0.02312
393.50,-0.02307
394.00,-0.02303
394.50,-0.02318
395.00,-0.02321
395.50,-0.02313
396.00,-0.02330
396.50,-0.02325
397.00,-0.02332
397.50,-0.02324
398.00,-0.02327
398.50,-0.02319
399.00,-0.02328
399.50,-0.02321
400.00,-0.02309
400.50,-0.02306
401.00,-0.02304
401.50,-0.02309
402.00,-0.02309
402.50,-0.02309
403.00,-0.02303
403.50,-0.02301
404.00,-0.02289
404.50,-0.02296
405.00,-0.02296
405.50,-0.02293
406.00,-0.02290
406.50,-0.02283
407.00,-0.02289
407.50,-0.02275
408.00,-0.02280
408.50,-0.02289
409.00,-0.02277
409.50,-0.02275
410.00,-0.02272
410.50,-0.02269
411.00,-0.02275
411.50,-0.02267
412.00,-0.02272
412.50,-0.02271
413.00,-0.02260
413.50,-0.02252
414.00,-0.02257
414.50,-0.02258
415.00,-0.02252
415.50,-0.02252
416.00,-0.02257
416.50,-0.02255
417.00,-0.02257
417.50,-0.02251
418.00,-0.02243
418.50,-0.02238
419.00,-0.02242
419.50,-0.02240
420.00,-0.02245
420.50,-0.02237
421.00,-0.02243
421.50,-0.02243
422.00,-0.02243
422.50,-0.02235
423.00,-0.02231
423.50,-0.02226
424.00,-0.02223
424.50,-0.02226
425.00,-0.02225
425.50,-0.02222
426.00,-0.02226
426.50,-0.02222
427.00,-0.02222
427.50,-0.02229
428.00,-0.02232
428.50,-0.02235
429.00,-0.02223
429.50,-0.02228
430.00,-0.02225
430.50,-0.02208
431.00,-0.02196
431.50,-0.02188
432.00,-0.02173
432.50,-0.02177
433.00,-0.02193
433.50,-0.02197
434.00,-0.02193
434.50,-0.02191
435.00,-0.02191
435.50,-0.02196
436.00,-0.02197
436.50,-0.02193
437.00,-0.02180
437.50,-0.02187
438.00,-0.02182
438.50,-0.02176
439.00,-0.02165
439.50,-0.02173
440.00,-0.02173
440.50,-0.02173
441.00,-0.02168
441.50,-0.02171
442.00,-0.02159
442.50,-0.02161
443.00,-0.02159
443.50,-0.02165
444.00,-0.02158
444.50,-0.02167
445.00,-0.02170
445.50,-0.02170
446.00,-0.02161
446.50,-0.02145
447.00,-0.02141
447.50,-0.02148
448.00,-0.02155
448.50,-0.02150
449.00,-0.02155
449.50,-0.02168
450.00,-0.02173
450.50,-0.02171
451.00,-0.02168
451.50,-0.02168
452.00,-0.02153
452.50,-0.02147
453.00,-0.02142
453.50,-0.02130
454.00,-0.02121
454.50,-0.02126
455.00,-0.02132
455.50,-0.02124
456.00,-0.02119
456.50,-0.02119
457.00,-0.02122
457.50,-0.02121
458.00,-0.02127
458.50,-0.02133
459.00,-0.02130
459.50,-0.02138
460.00,-0.02136
460.50,-0.02133
461.00,-0.02127
461.50,-0.02133
462.00,-0.02129
462.50,-0.02124
463.00,-0.02113
463.50,-0.02109
464.00,-0.02101
464.50,-0.02098
465.00,-0.02097
465.50,-0.02092
466.00,-0.02092
466.50,-0.02097
467.00,-0.02101
467.50,-0.02104
468.00,-0.02101
468.50,-0.02104
469.00,-0.02106
469.50,-0.02109
470.00,-0.02098
470.50,-0.02101
471.00,-0.02097
471.50,-0.02100
472.00,-0.02104
472.50,-0.02103
473.00,-0.02097
473.50,-0.02089
474.00,-0.02086
474.50,-0.02084
475.00,-0.02084
475.50,-0.02077
476.00,-0.02072
476.50,-0.02077
477.00,-0.02075
477.50,-0.02071
478.00,-0.02069
478.50,-0.02072
479.00,-0.02065
479.50,-0.02069
480.00,-0.02069
480.50,-0.02074
481.00,-0.02069
481.50,-0.02068
482.00,-0.02068
482.50,-0.02075
483.00,-0.02072
483.50,-0.02075
484.00,-0.02077
484.50,-0.02069
485.00,-0.02068
485.50,-0.02068
486.00,-0.02065
486.50,-0.02068
487.00,-0.02066
487.50,-0.02051
488.00,-0.02039
488.50,-0.02029
489.00,-0.02028
489.50,-0.02028
490.00,-0.02029
490.50,-0.02029
491.00,-0.02029
491.50,-0.02020
492.00,-0.02022
492.50,-0.02034
493.00,-0.02042
493.50,-0.02048
494.00,-0.02051
494.50,-0.02045
495.00,-0.02040
495.50,-0.02045
496.00,-0.02046
496.50,-0.02046
497.00,-0.02043
497.50,-0.02039
498.00,-0.02031
498.50,-0.02014
499.00,-0.02023
499.50,-0.02019
500.00,-0.02028
500.50,-0.02017
501.00,-0.02008
501.50,-0.02003
502.00,-0.02000
502.50,-0.01999
503.00,-0.02000
503.50,-0.02002
504.00,-0.02008
504.50,-0.02014
505.00,-0.02017
505.50,-0.02007
506.00,-0.02011
506.50,-0.02016
507.00,-0.02013
507.50,-0.02007
508.00,-0.02013
508.50,-0.02007
509.00,-0.02000
509.50,-0.02000
510.00,-0.02000
510.50,-0.02003
511.00,-0.02008
511.50,-0.02010
512.00,-0.02008
512.50,-0.02005
513.00,-0.01999
513.50,-0.01996
514.00,-0.01987
514.50,-0.01985
515.00,-0.01976
515.50,-0.01965
516.00,-0.01971
516.50,-0.01967
517.00,-0.01962
517.50,-0.01956
518.00,-0.01952
518.50,-0.01947
519.00,-0.01955
519.50,-0.01952
520.00,-0.01952
520.50,-0.01949
521.00,-0.01950
521.50,-0.01967
522.00,-0.01978
522.50,-0.01973
523.00,-0.01962
523.50,-0.01979
524.00,-0.01991
524.50,-0.01993
525.00,-0.01991
525.50,-0.01985
526.00,-0.01971
526.50,-0.01964
527.00,-0.01962
527.50,-0.01958
528.00,-0.01955
528.50,-0.01953
529.00,-0.01953
529.50,-0.01944
530.00,-0.01939
530.50,-0.01935
531.00,-0.01936
531.50,-0.01933
532.00,-0.01933
532.50,-0.01929
533.00,-0.01933
533.50,-0.01926
534.00,-0.01926
534.50,-0.01933
535.00,-0.01929
535.50,-0.01930
536.00,-0.01942
536.50,-0.01945
537.00,-0.01950
537.50,-0.01941
538.00,-0.01936
538.50,-0.01945
539.00,-0.01945
539.50,-0.01944
540.00,-0.01939
540.50,-0.01932
541.00,-0.01933
541.50,-0.01942
542.00,-0.01944
542.50,-0.01942
543.00,-0.01945
543.50,-0.01942
544.00,-0.01947
544.50,-0.01936
545.00,-0.01924
545.50,-0.01910
546.00,-0.01894
546.50,-0.01886
547.00,-0.01881
547.50,-0.01877
548.00,-0.01880
548.50,-0.01875
549.00,-0.01875
549.50,-0.01877
550.00,-0.01881
550.50,-0.01883
551.00,-0.01877
551.50,-0.01880
552.00,-0.01888
552.50,-0.01886
553.00,-0.01886
553.50,-0.01884
554.00,-0.01897
554.50,-0.01901
555.00,-0.01910
555.50,-0.01910
556.00,-0.01913
556.50,-0.01913
557.00,-0.01907
557.50,-0.01900
558.00,-0.01901
558.50,-0.01904
559.00,-0.01895
559.50,-0.01883
560.00,-0.01875
560.50,-0.01875
561.00,-0.01881
561.50,-0.01881
562.00,-0.01878
562.50,-0.01871
563.00,-0.01855
563.50,-0.01845
564.00,-0.01849
564.50,-0.01839
565.00,-0.01845
565.50,-0.01846
566.00,-0.01834
566.50,-0.01830
567.00,-0.01837
567.50,-0.01836
568.00,-0.01846
568.50,-0.01848
569.00,-0.01846
569.50,-0.01851
570.00,-0.01859
570.50,-0.01872
571.00,-0.01875
571.50,-0.01874
572.00,-0.01860
572.50,-0.01868
573.00,-0.01875
573.50,-0.01884
574.00,-0.01880
574.50,-0.01878
575.00,-0.01875
575.50,-0.01868
576.00,-0.01860
576.50,-0.01860
577.00,-0.01849
577.50,-0.01846
578.00,-0.01846
578.50,-0.01842
579.00,-0.01834
579.50,-0.01825
580.00,-0.01817
580.50,-0.01808
581.00,-0.01813
581.50,-0.01801
582.00,-0.01802
582.50,-0.01807
583.00,-0.01801
583.50,-0.01801
584.00,-0.01805
584.50,-0.01802
585.00,-0.01801
585.50,-0.01799
586.00,-0.01788
586.50,-0.01797
587.00,-0.01811
587.50,-0.01808
588.00,-0.01802
588.50,-0.01819
589.00,-0.01830
589.50,-0.01831
590.00,-0.01830
590.50,-0.01833
591.00,-0.01840
591.50,-0.01834
592.00,-0.01839
592.50,-0.01830
593.00,-0.01820
593.50,-0.01816
594.00,-0.01807
594.50,-0.01801
595.00,-0.01810
595.50,-0.01819
596.00,-0.01817
596.50,-0.01810
597.00,-0.01797
597.50,-0.01804
598.00,-0.01799
598.50,-0.01785
599.00,-0.01779
599.50,-0.01772
600.00,-0.01764
600.50,-0.01756
601.00,-0.01758
601.50,-0.01759
602.00,-0.01758
602.50,-0.01759
603.00,-0.01753
603.50,-0.01750
604.00,-0.01750
604.50,-0.01755
605.00,-0.01767
605.50,-0.01772
606.00,-0.01765
606.50,-0.01770
607.00,-0.01775
607.50,-0.01779
608.00,-0.01781
608.50,-0.01778
609.00,-0.01788
609.50,-0.01782
610.00,-0.01788
610.50,-0.01790
611.00,-0.01790
611.50,-0.01791
612.00,-0.01797
612.50,-0.01796
613.00,-0.01801
613.50,-0.01807
614.00,-0.01805
614.50,-0.01797
615.00,-0.01785
615.50,-0.01778
616.00,-0.01770
616.50,-0.01759
617.00,-0.01756
617.50,-0.01752
618.00,-0.01747
618.50,-0.01741
619.00,-0.01733
619.50,-0.01740
620.00,-0.01723
620.50,-0.01724
621.00,-0.01729
621.50,-0.01712
622.00,-0.01697
622.50,-0.01698
623.00,-0.01691
623.50,-0.01695
624.00,-0.01703
624.50,-0.01707
625.00,-0.01709
625.50,-0.01717
626.00,-0.01715
626.50,-0.01715
627.00,-0.01727
627.50,-0.01726
628.00,-0.01732
628.50,-0.01736
629.00,-0.01743
629.50,-0.01741
630.00,-0.01743
630.50,-0.01746
631.00,-0.01758
631.50,-0.01761
632.00,-0.01765
632.50,-0.01764
633.00,-0.01767
633.50,-0.01765
634.00,-0.01755
634.50,-0.01753
635.00,-0.01746
635.50,-0.01736
636.00,-0.01738
636.50,-0.01743
637.00,-0.01729
637.50,-0.01723
638.00,-0.01717
638.50,-0.01721
639.00,-0.01720
639.50,-0.01712
640.00,-0.01700
640.50,-0.01695
641.00,-0.01700
641.50,-0.01695
642.00,-0.01685
642.50,-0.01688
643.00,-0.01689
643.50,-0.01672
644.00,-0.01669
644.50,-0.01672
645.00,-0.01653
645.50,-0.01654
646.00,-0.01646
646.50,-0.01643
647.00,-0.01649
647.50,-0.01649
648.00,-0.01653
648.50,-0.01656
649.00,-0.01663
649.50,-0.01669
650.00,-0.01671
650.50,-0.01668
651.00,-0.01668
651.50,-0.01686
652.00,-0.01701
652.50,-0.01706
653.00,-0.01700
653.50,-0.01695
654.00,-0.01698
654.50,-0.01707
655.00,-0.01711
655.50,-0.01704
656.00,-0.01706
656.50,-0.01707
657.00,-0.01701
657.50,-0.01704
658.00,-0.01701
658.50,-0.01701
659.00,-0.01698
659.50,-0.01692
660.00,-0.01688
660.50,-0.01688
661.00,-0.01686
661.50,-0.01683
662.00,-0.01671
662.50,-0.01656
663.00,-0.01648
663.50,-0.01639
664.00,-0.01639
664.50,-0.01637
665.00,-0.01630
665.50,-0.01622
666.00,-0.01619
666.50,-0.01610
667.00,-0.01602
667.50,-0.01608
668.00,-0.01608
668.50,-0.01605
669.00,-0.01601
669.50,-0.01602
670.00,-0.01601
670.50,-0.01608
671.00,-0.01613
671.50,-0.01610
672.00,-0.01604
672.50,-0.01611
673.00,-0.01624
673.50,-0.01633
674.00,-0.01640
674.50,-0.01640
675.00,-0.01648
675.50,-0.01653
676.00,-0.01645
676.50,-0.01648
677.00,-0.01659
677.50,-0.01666
678.00,-0.01668
678.50,-0.01665
679.00,-0.01663
679.50,-0.01656
680.00,-0.01668
680.50,-0.01682
681.00,-0.01678
681.50,-0.01680
682.00,-0.01694
682.50,-0.01674
683.00,-0.01643
683.50,-0.01642
684.00,-0.01651
684.50,-0.01656
685.00,-0.01651
685.50,-0.01645
686.00,-0.01639
686.50,-0.01628
687.00,-0.01610
687.50,-0.01604
688.00,-0.01602
688.50,-0.01607
689.00,-0.01601
689.50,-0.01590
690.00,-0.01575
690.50,-0.01558
691.00,-0.01556
691.50,-0.01556
692.00,-0.01556
692.50,-0.01550
693.00,-0.01552
693.50,-0.01543
694.00,-0.01550
694.50,-0.01553
695.00,-0.01556
695.50,-0.01563
696.00,-0.01559
696.50,-0.01567
